Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
RSP,70432V102,PAYC ,"102,783","37,618,578.00",0.264,Paycom Software Inc,Common Stock,Information Technology,10/09/2020
RSP,29786A106,ETSY ,"246,311","36,126,434.37",0.253,Etsy Inc,Common Stock,Consumer Discretionary,10/09/2020
RSP,573284106,MLM ,"130,011","35,506,004.10",0.249,Martin Marietta Materials Inc,Common Stock,Materials,10/09/2020
RSP,512807108,LRCX ,"92,815","33,664,928.65",0.236,Lam Research Corp,Common Stock,Information Technology,10/09/2020
RSP,482480100,KLAC ,"158,664","33,484,450.56",0.235,KLA Corp,Common Stock,Information Technology,10/09/2020
RSP,983919101,XLNX ,"276,567","33,448,012.98",0.234,Xilinx Inc,Common Stock,Information Technology,10/09/2020
RSP,G491BT108,IVZ ,"2,549,687","33,426,396.57",0.234,Invesco Ltd,Common Stock,Financials,10/09/2020
RSP,929160109,VMC ,"216,550","32,651,409.00",0.229,Vulcan Materials Co,Common Stock,Materials,10/09/2020
RSP,902252105,TYL ,"83,816","32,627,892.48",0.229,Tyler Technologies Inc,Common Stock,Information Technology,10/09/2020
RSP,364760108,GPS ,"1,639,604","32,480,555.24",0.228,Gap Inc/The,Common Stock,Consumer Discretionary,10/09/2020
RSP,254709108,DFS ,"498,385","32,340,202.65",0.227,Discover Financial Services,Common Stock,Financials,10/09/2020
RSP,015351109,ALXN ,"258,954","32,244,952.08",0.226,Alexion Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
RSP,90184L102,TWTR ,"700,864","32,169,657.60",0.225,Twitter Inc,Common Stock,Communication Services,10/09/2020
RSP,237194105,DRI ,"314,322","32,057,700.78",0.225,Darden Restaurants Inc,Common Stock,Consumer Discretionary,10/09/2020
RSP,831865209,AOS ,"559,252","31,983,621.88",0.224,A O Smith Corp,Common Stock,Industrials,10/09/2020
RSP,31428X106,FDX ,"117,253","31,840,052.15",0.223,FedEx Corp,Common Stock,Industrials,10/09/2020
RSP,963320106,WHR ,"157,917","31,804,483.80",0.223,Whirlpool Corp,Common Stock,Consumer Discretionary,10/09/2020
RSP,876030107,TPR ,"1,689,246","31,791,609.72",0.223,Tapestry Inc,Common Stock,Consumer Discretionary,10/09/2020
RSP,723484101,PNW ,"384,807","31,769,665.92",0.223,Pinnacle West Capital Corp,Common Stock,Utilities,10/09/2020
RSP,96145D105,WRK ,"839,501","31,733,137.80",0.222,Westrock Co,Common Stock,Materials,10/09/2020
RSP,G8473T100,STE ,"168,142","31,686,359.90",0.222,STERIS PLC,Common Stock,Health Care,10/09/2020
RSP,G6095L109,APTV ,"322,642","31,638,274.52",0.222,Aptiv PLC,Common Stock,Consumer Discretionary,10/09/2020
RSP,33616C100,FRC ,"254,974","31,545,383.28",0.221,First Republic Bank/CA,Common Stock,Financials,10/09/2020
RSP,513272104,LW ,"430,765","31,536,305.65",0.221,Lamb Weston Holdings Inc,Common Stock,Consumer Staples,10/09/2020
RSP,57060D108,MKTX ,"60,225","31,440,461.25",0.220,MarketAxess Holdings Inc,Common Stock,Financials,10/09/2020
RSP,501797104,LB ,"974,330","31,431,885.80",0.220,L Brands Inc,Common Stock,Consumer Discretionary,10/09/2020
RSP,22052L104,CTVA ,"940,165","31,429,715.95",0.220,Corteva Inc,Common Stock,Materials,10/09/2020
RSP,038222105,AMAT ,"496,020","31,393,105.80",0.220,Applied Materials Inc,Common Stock,Information Technology,10/09/2020
RSP,369604103,GE ,"4,585,192","31,362,713.28",0.220,General Electric Co,Common Stock,Industrials,10/09/2020
RSP,78440X101,SLG ,"609,617","31,358,698.48",0.220,SL Green Realty Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
RSP,880770102,TER ,"364,187","31,356,500.70",0.220,Teradyne Inc,Common Stock,Information Technology,10/09/2020
RSP,74762E102,PWR ,"529,094","31,338,237.62",0.220,Quanta Services Inc,Common Stock,Industrials,10/09/2020
RSP,148806102,CTLT ,"329,878","31,166,873.44",0.218,Catalent Inc,Common Stock,Health Care,10/09/2020
RSP,44980X109,IPGP ,"172,041","31,144,582.23",0.218,IPG Photonics Corp,Common Stock,Information Technology,10/09/2020
RSP,036752103,ANTM ,"105,730","31,127,969.30",0.218,Anthem Inc,Common Stock,Health Care,10/09/2020
RSP,81762P102,NOW ,"61,142","31,097,432.62",0.218,ServiceNow Inc,Common Stock,Information Technology,10/09/2020
RSP,49338L103,KEYS ,"295,366","31,090,225.16",0.218,Keysight Technologies Inc,Common Stock,Information Technology,10/09/2020
RSP,15135B101,CNC ,"483,368","31,032,225.60",0.217,Centene Corp,Common Stock,Health Care,10/09/2020
RSP,989207105,ZBRA ,"109,095","30,982,980.00",0.217,Zebra Technologies Corp,Common Stock,Information Technology,10/09/2020
RSP,209115104,ED ,"375,056","30,960,872.80",0.217,Consolidated Edison Inc,Common Stock,Utilities,10/09/2020
RSP,025537101,AEP ,"344,690","30,960,055.80",0.217,American Electric Power Co Inc,Common Stock,Utilities,10/09/2020
RSP,842587107,SO ,"527,025","30,957,448.50",0.217,Southern Co/The,Common Stock,Utilities,10/09/2020
RSP,G7S00T104,PNR ,"624,154","30,951,796.86",0.217,Pentair PLC,Common Stock,Industrials,10/09/2020
RSP,418056107,HAS ,"346,899","30,929,514.84",0.217,Hasbro Inc,Common Stock,Consumer Discretionary,10/09/2020
RSP,83088M102,SWKS ,"200,431","30,922,494.68",0.217,Skyworks Solutions Inc,Common Stock,Information Technology,10/09/2020
RSP,595017104,MCHP ,"270,969","30,885,046.62",0.216,Microchip Technology Inc,Common Stock,Information Technology,10/09/2020
RSP,12514G108,CDW ,"245,025","30,870,699.75",0.216,CDW Corp/DE,Common Stock,Information Technology,10/09/2020
RSP,74144T108,TROW ,"216,942","30,851,321.82",0.216,T Rowe Price Group Inc,Common Stock,Financials,10/09/2020
RSP,67066G104,NVDA ,"56,031","30,845,625.81",0.216,NVIDIA Corp,Common Stock,Information Technology,10/09/2020
RSP,89832Q109,TFC ,"713,683","30,838,242.43",0.216,Truist Financial Corp,Common Stock,Financials,10/09/2020
RSP,09247X101,BLK ,"50,406","30,826,797.42",0.216,BlackRock Inc,Common Stock,Financials,10/09/2020
RSP,337738108,FISV ,"293,232","30,821,615.52",0.216,Fiserv Inc,Common Stock,Information Technology,10/09/2020
RSP,217204106,CPRT ,"267,407","30,807,960.47",0.216,Copart Inc,Common Stock,Industrials,10/09/2020
RSP,911363109,URI ,"156,216","30,765,179.04",0.216,United Rentals Inc,Common Stock,Industrials,10/09/2020
RSP,14040H105,COF ,"384,038","30,676,955.44",0.215,Capital One Financial Corp,Common Stock,Financials,10/09/2020
RSP,26441C204,DUK ,"328,637","30,661,832.10",0.215,Duke Energy Corp,Common Stock,Utilities,10/09/2020
RSP,770323103,RHI ,"527,255","30,654,605.70",0.215,Robert Half International Inc,Common Stock,Industrials,10/09/2020
RSP,053015103,ADP ,"204,418","30,632,037.30",0.215,Automatic Data Processing Inc,Common Stock,Information Technology,10/09/2020
RSP,25179M103,DVN ,"3,041,517","30,628,076.19",0.215,Devon Energy Corp,Common Stock,Energy,10/09/2020
RSP,30040W108,ES ,"332,065","30,613,072.35",0.214,Eversource Energy,Common Stock,Utilities,10/09/2020
RSP,74736K101,QRVO ,"221,854","30,587,010.98",0.214,Qorvo Inc,Common Stock,Information Technology,10/09/2020
RSP,090572207,BIO ,"53,959","30,548,348.26",0.214,Bio-Rad Laboratories Inc,Common Stock,Health Care,10/09/2020
RSP,03076C106,AMP ,"179,331","30,547,242.54",0.214,Ameriprise Financial Inc,Common Stock,Financials,10/09/2020
RSP,436440101,HOLX ,"439,782","30,516,472.98",0.214,Hologic Inc,Common Stock,Health Care,10/09/2020
RSP,410345102,HBI ,"1,772,781","30,509,561.01",0.214,Hanesbrands Inc,Common Stock,Consumer Discretionary,10/09/2020
RSP,87165B103,SYF ,"1,057,800","30,506,952.00",0.214,Synchrony Financial,Common Stock,Financials,10/09/2020
RSP,64110L106,NFLX ,"56,532","30,495,622.08",0.214,Netflix Inc,Common Stock,Communication Services,10/09/2020
RSP,354613101,BEN ,"1,348,602","30,464,919.18",0.213,Franklin Resources Inc,Common Stock,Financials,10/09/2020
RSP,040413106,ANET ,"133,834","30,461,956.74",0.213,Arista Networks Inc,Common Stock,Information Technology,10/09/2020
RSP,871607107,SNPS ,"136,227","30,354,100.14",0.213,Synopsys Inc,Common Stock,Information Technology,10/09/2020
RSP,29444U700,EQIX ,"36,551","30,313,571.85",0.212,Equinix Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
RSP,316773100,FITB ,"1,296,342","30,308,475.96",0.212,Fifth Third Bancorp,Common Stock,Financials,10/09/2020
RSP,854502101,SWK ,"171,550","30,306,023.00",0.212,Stanley Black & Decker Inc,Common Stock,Industrials,10/09/2020
RSP,7591EP100,RF ,"2,368,213","30,289,444.27",0.212,Regions Financial Corp,Common Stock,Financials,10/09/2020
RSP,654106103,NKE ,"231,220","30,285,195.60",0.212,NIKE Inc,Common Stock,Consumer Discretionary,10/09/2020
RSP,29364G103,ETR ,"285,881","30,260,503.85",0.212,Entergy Corp,Common Stock,Utilities,10/09/2020
RSP,87612E106,TGT ,"184,717","30,240,020.07",0.212,Target Corp,Common Stock,Consumer Discretionary,10/09/2020
RSP,918204108,VFC ,"389,601","30,236,933.61",0.212,VF Corp,Common Stock,Consumer Discretionary,10/09/2020
RSP,444859102,HUM ,"69,751","30,232,873.44",0.212,Humana Inc,Common Stock,Health Care,10/09/2020
RSP,281020107,EIX ,"538,832","30,223,086.88",0.212,Edison International,Common Stock,Utilities,10/09/2020
RSP,882508104,TXN ,"200,125","30,200,863.75",0.212,Texas Instruments Inc,Common Stock,Information Technology,10/09/2020
RSP,57772K101,MXIM ,"413,328","30,172,944.00",0.211,Maxim Integrated Products Inc,Common Stock,Information Technology,10/09/2020
RSP,150870103,CE ,"256,014","30,168,689.76",0.211,Celanese Corp,Common Stock,Materials,10/09/2020
RSP,75886F107,REGN ,"50,095","30,160,696.65",0.211,Regeneron Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
RSP,78486Q101,SIVB ,"109,799","30,155,197.36",0.211,SVB Financial Group,Common Stock,Financials,10/09/2020
RSP,058498106,BLL ,"334,046","30,150,991.96",0.211,Ball Corp,Common Stock,Materials,10/09/2020
RSP,37940X102,GPN ,"164,055","30,150,027.90",0.211,Global Payments Inc,Common Stock,Information Technology,10/09/2020
RSP,030420103,AWK ,"193,374","30,118,000.50",0.211,American Water Works Co Inc,Common Stock,Utilities,10/09/2020
RSP,G8994E103,TT ,"233,243","30,116,336.16",0.211,Trane Technologies PLC,Common Stock,Industrials,10/09/2020
RSP,863667101,SYK ,"135,091","30,115,836.63",0.211,Stryker Corp,Common Stock,Health Care,10/09/2020
RSP,235851102,DHR ,"133,178","30,106,218.68",0.211,Danaher Corp,Common Stock,Health Care,10/09/2020
RSP,682680103,OKE ,"1,035,816","30,090,454.80",0.211,ONEOK Inc,Common Stock,Energy,10/09/2020
RSP,127387108,CDNS ,"268,788","30,085,440.84",0.211,Cadence Design Systems Inc,Common Stock,Information Technology,10/09/2020
RSP,14448C104,CARR ,"933,066","30,072,717.18",0.211,Carrier Global Corp,Common Stock,Industrials,10/09/2020
RSP,256677105,DG ,"136,060","30,066,538.80",0.211,Dollar General Corp,Common Stock,Consumer Discretionary,10/09/2020
RSP,714046109,PKI ,"231,796","30,059,305.28",0.211,PerkinElmer Inc,Common Stock,Health Care,10/09/2020
RSP,747525103,QCOM ,"240,595","30,043,097.65",0.210,QUALCOMM Inc,Common Stock,Information Technology,10/09/2020
RSP,773903109,ROK ,"122,783","29,993,431.24",0.210,Rockwell Automation Inc,Common Stock,Industrials,10/09/2020
RSP,911312106,UPS ,"171,693","29,993,050.17",0.210,United Parcel Service Inc,Common Stock,Industrials,10/09/2020
RSP,704326107,PAYX ,"363,865","29,982,476.00",0.210,Paychex Inc,Common Stock,Information Technology,10/09/2020
RSP,45168D104,IDXX ,"74,820","29,976,633.00",0.210,IDEXX Laboratories Inc,Common Stock,Health Care,10/09/2020
RSP,744573106,PEG ,"520,756","29,974,715.36",0.210,Public Service Enterprise Group Inc,Common Stock,Utilities,10/09/2020
RSP,15189T107,CNP ,"1,402,618","29,973,946.66",0.210,CenterPoint Energy Inc,Common Stock,Utilities,10/09/2020
RSP,H84989104,TEL ,"278,895","29,939,378.25",0.210,TE Connectivity Ltd,Common Stock,Information Technology,10/09/2020
RSP,302445101,FLIR ,"797,277","29,921,805.81",0.210,FLIR Systems Inc,Common Stock,Information Technology,10/09/2020
RSP,460146103,IP ,"701,035","29,913,163.45",0.210,International Paper Co,Common Stock,Materials,10/09/2020
RSP,34959E109,FTNT ,"236,866","29,887,751.88",0.209,Fortinet Inc,Common Stock,Information Technology,10/09/2020
RSP,955306105,WST ,"100,177","29,880,795.56",0.209,West Pharmaceutical Services Inc,Common Stock,Health Care,10/09/2020
RSP,G7945M107,STX ,"586,211","29,879,174.67",0.209,Seagate Technology PLC,Common Stock,Information Technology,10/09/2020
RSP,79466L302,CRM ,"112,279","29,863,968.42",0.209,salesforce.com Inc,Common Stock,Information Technology,10/09/2020
RSP,216648402,COO ,"83,451","29,862,940.35",0.209,Cooper Cos Inc/The,Common Stock,Health Care,10/09/2020
RSP,30161N101,EXC ,"761,484","29,850,172.80",0.209,Exelon Corp,Common Stock,Utilities,10/09/2020
RSP,23331A109,DHI ,"382,172","29,843,811.48",0.209,DR Horton Inc,Common Stock,Consumer Discretionary,10/09/2020
RSP,62944T105,NVR ,"6,784","29,842,883.84",0.209,NVR Inc,Common Stock,Consumer Discretionary,10/09/2020
RSP,871829107,SYY ,"437,910","29,769,121.80",0.209,Sysco Corp,Common Stock,Consumer Staples,10/09/2020
RSP,778296103,ROST ,"302,371","29,756,330.11",0.208,Ross Stores Inc,Common Stock,Consumer Discretionary,10/09/2020
RSP,053611109,AVY ,"227,815","29,729,857.50",0.208,Avery Dennison Corp,Common Stock,Materials,10/09/2020
RSP,22160K105,COST ,"80,451","29,723,426.46",0.208,Costco Wholesale Corp,Common Stock,Consumer Staples,10/09/2020
RSP,892356106,TSCO ,"198,230","29,720,623.90",0.208,Tractor Supply Co,Common Stock,Consumer Discretionary,10/09/2020
RSP,65339F101,NEE ,"98,087","29,711,533.17",0.208,NextEra Energy Inc,Common Stock,Utilities,10/09/2020
RSP,219350105,GLW ,"854,105","29,705,771.90",0.208,Corning Inc,Common Stock,Information Technology,10/09/2020
RSP,007903107,AMD ,"357,372","29,697,613.20",0.208,Advanced Micro Devices Inc,Common Stock,Information Technology,10/09/2020
RSP,086516101,BBY ,"254,681","29,693,257.79",0.208,Best Buy Co Inc,Common Stock,Consumer Discretionary,10/09/2020
RSP,032095101,APH ,"261,603","29,689,324.47",0.208,Amphenol Corp,Common Stock,Information Technology,10/09/2020
RSP,81211K100,SEE ,"695,389","29,679,202.52",0.208,Sealed Air Corp,Common Stock,Materials,10/09/2020
RSP,45337C102,INCY ,"309,996","29,679,017.04",0.208,Incyte Corp,Common Stock,Health Care,10/09/2020
RSP,91324P102,UNH ,"90,499","29,669,192.16",0.208,UnitedHealth Group Inc,Common Stock,Health Care,10/09/2020
RSP,253868103,DLR ,"187,314","29,659,298.76",0.208,Digital Realty Trust Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
RSP,244199105,DE ,"126,302","29,656,972.62",0.208,Deere & Co,Common Stock,Industrials,10/09/2020
RSP,68902V107,OTIS ,"453,605","29,643,086.75",0.208,Otis Worldwide Corp,Common Stock,Industrials,10/09/2020
RSP,384802104,GWW ,"76,875","29,629,162.50",0.208,WW Grainger Inc,Common Stock,Industrials,10/09/2020
RSP,00130H105,AES ,"1,532,685","29,611,474.20",0.207,AES Corp/The,Common Stock,Utilities,10/09/2020
RSP,526057104,LEN ,"352,126","29,603,232.82",0.207,Lennar Corp,Common Stock,Consumer Discretionary,10/09/2020
RSP,808513105,SCHW ,"774,223","29,598,545.29",0.207,Charles Schwab Corp/The,Common Stock,Financials,10/09/2020
RSP,461202103,INTU ,"86,553","29,584,680.93",0.207,Intuit Inc,Common Stock,Information Technology,10/09/2020
RSP,620076307,MSI ,"177,255","29,562,588.90",0.207,Motorola Solutions Inc,Common Stock,Information Technology,10/09/2020
RSP,032654105,ADI ,"239,700","29,562,201.00",0.207,Analog Devices Inc,Common Stock,Information Technology,10/09/2020
RSP,205887102,CAG ,"791,534","29,540,048.88",0.207,Conagra Brands Inc,Common Stock,Consumer Staples,10/09/2020
RSP,595112103,MU ,"591,898","29,529,791.22",0.207,Micron Technology Inc,Common Stock,Information Technology,10/09/2020
RSP,745867101,PHM ,"602,207","29,496,098.86",0.207,PulteGroup Inc,Common Stock,Consumer Discretionary,10/09/2020
